iter	Passed	Remaining
407	6755	9802
408	6771	9784
409	6784	9763
410	6794	9737
411	6804	9711
412	6818	9691
413	6832	9670
414	6840	9642
415	6853	9620
416	6863	9595
417	6876	9574
418	6891	9555
419	6902	9531
420	6914	9509
421	6928	9489
422	6941	9468
423	6952	9445
424	6968	9427
425	6980	9405
426	6993	9384
427	7005	9361
428	7018	9341
429	7033	9323
430	7046	9302
431	7057	9279
432	7070	9258
433	7081	9235
434	7094	9214
435	7102	9187
436	7115	9167
437	7129	9148
438	7141	9125
439	7151	9102
440	7164	9081
441	7178	9062
442	7192	9043
443	7202	9018
444	7211	8994
445	7225	8975
446	7246	8965
447	7257	8942
448	7268	8919
449	7280	8898
450	7293	8878
451	7304	8855
452	7317	8835
453	7331	8817
454	7341	8793
455	7356	8776
456	7373	8760
457	7386	8740
458	7397	8718
459	7409	8698
460	7419	8675
461	7429	8651
462	7442	8631
463	7452	8608
464	7464	8588
465	7475	8566
466	7486	8544
467	7496	8521
468	7512	8505
469	7524	8485
470	7536	8464
471	7548	8444
472	7561	8424
473	7574	8405
474	7584	8383
475	7595	8361
476	7607	8340
477	7620	8321
478	7631	8300
479	7643	8280
480	7655	8259
481	7667	8239
482	7679	8220
483	7690	8198
484	7703	8180
485	7716	8160
486	7725	8138
487	7736	8117
488	7750	8099
489	7766	8083
490	7783	8068
491	7795	8049
492	7806	8028
493	7820	8010
494	7829	7987
495	7840	7966
496	7849	7944
497	7863	7926
498	7877	7908
499	7887	7887
500	7900	7869
501	7913	7850
502	7926	7831
503	7938	7812
504	7949	7792
505	7963	7774
506	7977	7757
507	7988	7736
508	8001	7718
509	8014	7700
510	8026	7680
511	8037	7661
512	8050	7642
513	8066	7627
514	8076	7605
515	8087	7586
516	8101	7568
517	8115	7551
518	8125	7530
519	8137	7511
520	8147	7491
521	8159	7472
522	8172	7453
523	8182	7432
524	8194	7414
525	8205	7393
526	8216	7374
527	8226	7353
528	8237	7334
529	8250	7316
530	8260	7295
531	8275	7279
532	8285	7259
533	8301	7244
534	8317	7228
535	8332	7213
536	8344	7194
537	8356	7176
538	8369	7157
539	8382	7140
540	8394	7122
541	8406	7103
542	8418	7085
543	8429	7066
544	8439	7046
545	8451	7027
546	8463	7009
547	8477	6992
548	8491	6975
549	8505	6958
550	8516	6940
551	8527	6920
552	8537	6900
553	8549	6882
554	8562	6865
555	8574	6846
556	8588	6830
557	8603	6814
558	8616	6797
559	8628	6779
560	8638	6760
561	8651	6742
562	8663	6724
563	8676	6707
564	8692	6692
565	8706	6675
566	8717	6657
567	8729	6639
568	8746	6625
569	8759	6607
570	8772	6591
571	8786	6574
572	8799	6557
573	8812	6540
574	8823	6522
575	8833	6502
576	8845	6484
577	8855	6465
578	8868	6448
579	8878	6429
580	8890	6411
581	8902	6394
582	8913	6375
583	8924	6357
584	8935	6338
585	8946	6320
586	8956	6301
587	8967	6283
588	8977	6264
589	8990	6247
590	9002	6230
591	9012	6211
592	9025	6194
593	9043	6181
594	9055	6164
595	9069	6147
596	9082	6131
597	9098	6116
598	9113	6101
599	9128	6085
600	9142	6069
601	9155	6053
602	9167	6035
603	9178	6017
604	9190	6000
605	9203	5984
606	9217	5967
607	9227	5949
608	9237	5930
609	9249	5913
610	9262	5896
611	9272	5878
612	9285	5862
613	9300	5847
614	9314	5831
615	9327	5814
616	9339	5797
617	9351	5780
618	9364	5763
619	9375	5746
620	9385	5728
621	9397	5711
622	9409	5693
623	9422	5677
624	9431	5658
625	9443	5641
626	9453	5623
627	9466	5607
628	9475	5588
629	9487	5572
630	9497	5554
631	9507	5536
632	9519	5519
633	9530	5501
634	9542	5484
635	9554	5468
636	9565	5450
637	9577	5434
638	9586	5416
639	9598	5399
640	9607	5380
641	9619	5364
642	9631	5347
643	9642	5330
644	9653	5313
645	9663	5295
646	9674	5278
647	9687	5262
648	9699	5245
649	9708	5227
650	9720	5211
651	9731	5194
652	9746	5179
653	9757	5162
654	9768	5145
655	9779	5128
656	9790	5111
657	9801	5094
658	9812	5077
659	9822	5060
660	9835	5044
661	9846	5027
662	9856	5010
663	9866	4992
664	9877	4976
665	9891	4960
666	9901	4943
667	9912	4926
668	9922	4909
669	9934	4893
670	9945	4876
671	9956	4859
672	9968	4843
673	9978	4826
674	9990	4810
675	9999	4792
676	10009	4775
677	10018	4758
678	10030	4741
679	10040	4724
680	10053	4709
681	10062	4691
682	10074	4675
683	10086	4659
684	10096	4642
685	10105	4625
686	10116	4608
687	10128	4593
688	10139	4576
689	10151	4560
690	10162	4544
691	10173	4528
692	10183	4511
693	10194	4494
694	10204	4478
695	10213	4461
696	10224	4444
697	10237	4429
698	10248	4413
699	10258	4396
700	10270	4380
701	10280	4364
702	10290	4347
703	10299	4330
704	10309	4314
705	10320	4297
706	10332	4282
707	10345	4266
708	10356	4250
709	10369	4235
710	10379	4218
711	10389	4202
712	10398	4185
713	10408	4169
714	10417	4152
715	10429	4136
716	10439	4120
717	10450	4104
718	10462	4088
719	10474	4073
720	10485	4057
721	10495	4041
722	10505	4025
723	10516	4008
724	10527	3993
725	10539	3977
726	10548	3961
727	10559	3945
728	10572	3930
729	10585	3915
730	10596	3899
731	10609	3884
732	10622	3869
733	10633	3853
734	10646	3838
735	10655	3822
736	10669	3807
737	10682	3792
738	10693	3776
739	10705	3761
740	10719	3746
741	10733	3732
742	10744	3716
743	10755	3700
744	10768	3686
745	10782	3671
746	10792	3655
747	10804	3640
748	10815	3624
749	10827	3609
750	10840	3594
751	10850	3578
752	10864	3563
753	10877	3548
754	10890	3533
755	10902	3518
756	10915	3503
757	10928	3489
758	10939	3473
759	10950	3457
760	10962	3442
761	10974	3427
762	10988	3413
763	10998	3397
764	11008	3381
765	11019	3366
766	11031	3351
767	11044	3336
768	11059	3322
769	11072	3307
770	11087	3293
771	11099	3278
772	11110	3262
773	11124	3248
774	11137	3233
775	11148	3218
776	11160	3203
777	11173	3188
778	11185	3173
779	11199	3158
780	11211	3143
781	11221	3128
782	11234	3113
783	11244	3097
784	11255	3082
785	11267	3067
786	11279	3052
787	11291	3037
788	11303	3022
789	11319	3008
790	11331	2993
791	11341	2978
792	11353	2963
793	11365	2948
794	11376	2933
795	11388	2918
796	11401	2903
797	11412	2888
798	11422	2873
799	11433	2858
800	11445	2843
801	11456	2828
802	11468	2813
803	11478	2798
804	11489	2783
805	11502	2768
806	11514	2753
807	11526	2738
808	11536	2723
809	11545	2708
810	11556	2693
811	11567	2678
812	11577	2662
813	11590	2648
814	11601	2633
815	11613	2618
816	11623	2603
817	11634	2588
818	11645	2573
819	11657	2558
820	11670	2544
821	11679	2529
822	11690	2514
823	11705	2500
824	11717	2485
825	11728	2470
826	11738	2455
827	11750	2441
828	11761	2425
829	11771	2411
830	11780	2395
831	11791	2380
832	11800	2365
833	11812	2351
834	11822	2336
835	11833	2321
836	11844	2306
837	11857	2292
838	11870	2277
839	11880	2263
840	11892	2248
841	11906	2234
842	11922	2220
843	11932	2205
844	11944	2191
845	11956	2176
846	11967	2161
847	11978	2147
848	11989	2132
849	12000	2117
850	12013	2103
851	12026	2089
852	12038	2074
853	12051	2060
854	12065	2046
855	12076	2031
856	12088	2017
857	12101	2002
858	12114	1988
859	12130	1974
860	12143	1960
861	12155	1946
862	12167	1931
863	12178	1916
864	12190	1902
865	12207	1888
866	12224	1875
867	12234	1860
868	12250	1846
869	12266	1832
870	12279	1818
871	12291	1804
872	12305	1790
873	12320	1776
874	12333	1761
875	12348	1747
876	12363	1733
877	12375	1719
878	12403	1707
879	12422	1694
880	12445	1681
881	12459	1666
882	12471	1652
883	12484	1638
884	12498	1624
885	12511	1609
886	12525	1595
887	12538	1581
888	12550	1567
889	12566	1553
890	12577	1538
891	12586	1523
892	12597	1509
893	12609	1495
894	12621	1480
895	12634	1466
896	12645	1452
897	12658	1437
898	12674	1423
899	12688	1409
900	12705	1396
901	12719	1381
902	12732	1367
903	12743	1353
904	12755	1338
905	12765	1324
906	12780	1310
907	12793	1296
908	12806	1282
909	12822	1268
910	12835	1253
911	12846	1239
912	12860	1225
913	12873	1211
914	12886	1197
915	12899	1182
916	12912	1168
917	12924	1154
918	12937	1140
919	12952	1126
920	12965	1112
921	12977	1097
922	12990	1083
923	13001	1069
924	13013	1055
925	13026	1040
926	13039	1026
927	13052	1012
928	13064	998
929	13076	984
930	13086	969
931	13099	955
932	13112	941
933	13123	927
934	13137	913
935	13148	899
936	13161	884
937	13174	870
938	13187	856
939	13199	842
940	13213	828
941	13228	814
942	13243	800
943	13259	786
944	13272	772
945	13289	758
946	13307	744
947	13319	730
948	13333	716
949	13348	702
950	13361	688
951	13373	674
952	13386	660
953	13399	646
954	13414	632
955	13428	618
956	13444	604
957	13458	590
958	13474	576
959	13489	562
960	13502	547
961	13516	533
962	13531	519
963	13547	505
964	13559	491
965	13573	477
966	13589	463
967	13602	449
968	13614	435
969	13625	421
970	13637	407
971	13649	393
972	13661	379
973	13679	365
974	13691	351
975	13703	336
976	13716	322
977	13729	308
978	13741	294
979	13754	280
980	13768	266
981	13782	252
982	13795	238
983	13809	224
984	13820	210
985	13831	196
986	13845	182
987	13858	168
988	13870	154
989	13880	140
990	13889	126
991	13899	112
992	13908	98
993	13919	84
994	13929	69
995	13937	55
996	13948	41
997	13959	27
998	13968	13
999	13980	0
3
999	13955	0
46568	3237
935	46601	3186
936	46646	3136
937	46681	3085
938	46706	3034
939	46741	2983
940	46768	2932
941	46808	2882
942	46849	2831
943	46889	2781
944	46921	2730
945	46956	2680
946	46985	2629
947	47008	2578
948	47044	2528
949	47069	2477
950	47096	2426
951	47122	2375
952	47156	2325
953	47186	2275
954	47206	2224
955	47231	2173
956	47262	2123
957	47289	2073
958	47309	2022
959	47330	1972
960	47353	1921
961	47393	1872
962	47420	1821
963	47450	1772
964	47484	1722
965	47508	1672
966	47537	1622
967	47560	1572
968	47592	1522
969	47625	1472
970	47651	1423
971	47681	1373
972	47715	1324
973	47741	1274
974	47766	1224
975	47874	1177
976	47900	1127
977	47924	1078
978	47952	1028
979	47985	979
980	48008	929
981	48036	880
982	48058	831
983	48080	781
984	48099	732
985	48124	683
986	48143	634
987	48163	584
988	48185	535
989	48202	486
990	48222	437
991	48241	389
992	48258	340
993	48279	291
994	48306	242
995	48327	194
996	48348	145
997	48370	96
998	48396	48
999	48415	0
0
