iter	RMSE
350	450.7874501
351	450.7713459
352	450.7493686
353	450.7491207
354	450.7398217
355	450.53818
356	450.4981079
357	450.4836494
358	450.4515614
359	450.4411094
360	450.4319921
361	450.4071662
362	450.406164
363	450.3777644
364	450.3479307
365	450.3215658
366	450.2965479
367	450.2850414
368	450.2462341
369	450.2460065
370	450.2369656
371	450.0180272
372	450.0178158
373	449.9415029
374	449.9413007
375	449.9110238
376	449.8926253
377	449.8397416
378	449.8002258
379	449.7840341
380	449.7609177
381	449.7389885
382	449.7360551
383	449.7054947
384	449.6859966
385	449.5133378
386	449.4505994
387	449.44387	46388	449.41388	4389	449.388389	4390	449.380390	4391	449.341391	4392	449.209392	4393	449.191393	4394	449.1651306
395	449.0143629
396	449.0045756
397	448.987397	4398	448.928398	399	448.7924399	400	448.7727400	401	448.737401	4402	448.72402	46403	448.71403	4404	448.700404	4405	448.673405	4406	448.648406	4407	448.624407	4408	448.593408	409	448.5776409410	448.5457410	411	448.5115411	412	448.4950412	413	448.4871413	414	448.4627414	415	448.4454415	416	448.4384416	417	448.4257417	418	448.4208418	419	448.4109419	420	448.399420	4421	448.377421	4422	448.367422	4423	448.357423	4424	448.34424	46425	448.34425	46426	448.31426	46427	448.29427	4428	448.273428	466.5452963
429	466.4898671
430	466.3565779
431	466.2998013
432	466.27946
433	466.2663159
434	466.2457188
435	466.2455475
436	466.2310405
437	466.2139261
438	465.969544
439	465.948981
440	465.9210012
441	465.8946994
442	465.8815499
443	465.8813812
444	465.8812188
445	465.8745218
446	465.8629348
447	465.8524487
448	465.8522952
449	465.7723388
450	465.7575861
451	465.7567439
452	465.7190626
453	465.7096131
454	465.7094735
455	465.6922066
456	465.6833103
457	465.6747232
458	465.6658194
459	465.6532463
460	465.6351779
461	465.6275671
462	465.6160997
463	465.6009689
464	465.5917255
465	465.5662918
466	465.557774
467	465.533959
468	465.5269763
469	465.5084536
470	465.4997617
471	465.4891454
472	465.47686
473	465.4604668
474	465.4560387
475	465.4455326
476	465.4289739
477	465.4217369
478	465.4149284
479	465.3992921
480	465.384119
481	465.3555754
482	465.3317611
483	465.2823834
484	465.2557379
485	465.2445281
486	465.2443994
487	465.2137689
488	465.2018698
489	465.1380581
490	465.0905778
491	465.0741128
492	464.8689263
493	464.75746
494	464.6888661
495	464.6740151
496	464.6590206
497	464.6062352
498	464.5995365
499	464.5819391
500	464.5762243
501	464.5706
502	464.561875
503	464.5271581
504	464.521941
505	464.4810095
506	464.4609421
507	464.4470852
508	464.40952
509	464.3931452
510	464.3852268
511	464.3755819
512	464.3528815
513	464.3479933
514	464.3478762
515	464.2410167
516	464.2270802
517	464.1894845
518	464.1840619
519	463.9796485
520	463.9474943
521	463.9030728
522	463.9021466
523	463.845426
524	463.8445728
525	463.8359223
526	463.8320997
527	463.8268914
528	463.8140533
529	463.7911316
530	463.7903887
531	463.7811312
532	463.7704155
533	463.7604677
534	463.7102305
535	463.6976635
536	463.6880928
537	463.6784264
538	463.672082
539	463.667784
540	463.6639871
541	463.616172
542	463.6123682
543	463.6028755
544	463.5968883
545	463.5929399
546	463.422644
547	463.4185123
548	463.4095163
549	463.3992044
550	463.1913327
551	463.1735781
552	463.1621287
553	463.1568639
554	463.1522363
555	463.140454
556	463.1173008
557	463.1095041
558	463.0468411
559	462.9827651
560	462.9791343
561	462.9635761
562	462.8156944
563	462.7618732
564	462.7214552
565	462.6660832
566	462.6487336
567	462.6366417
568	462.6297159
569	462.5843675
570	462.5255125
571	462.5157199
572	462.4873574
573	462.4701829
574	462.4452586
575	462.4394564
576	462.4313979
577	462.4273238
578	462.4133568
579	462.4096238
580	462.3896086
581	462.3835825
582	462.381493
583	462.3469631
584	462.3262198
585	462.3043869
586	462.2988401
587	462.2921868
588	462.1536629
589	462.144117
590	462.1070608
591	462.0541023
592	462.008106
593	461.99649
594	461.9858198
595	461.9561418
596	461.9265407
597	461.9222193
598	461.8077466
599	461.8000159
600	461.7818677
601	461.7546776
602	461.7255746
603	461.7151294
604	461.6666727
605	461.6278607
606	461.6172287
607	461.6167799
608	461.5854825
609	461.5701269
610	461.5455552
611	461.5215964
612	461.5045108
613	461.4958716
614	461.4644853
615	461.4550473
616	461.4492561
617	461.2915913
618	461.1836453
619	461.1695373
620	461.1435604
621	461.1108434
622	461.1104267
623	461.0984939
624	461.0047129
625	460.9948608
626	460.9891255
627	460.9771368
628	460.9715753
629	460.9468297
630	460.9416052
631	460.9303812
632	460.9222921
633	460.8995228
634	460.8819928
635	460.8552034
636	460.841034
637	460.7469205
638	460.7375251
639	460.7326533
640	460.7293028
641	460.722939
642	460.7117818
643	460.7025633
644	460.6909232
645	460.6799083
646	460.6694778
647	460.6576351
648	460.6483347
649	460.6404987
650	460.6238399
651	460.6232341
652	460.6134464
653	460.6128144
654	460.5918934
655	460.5773184
656	460.5711571
657	460.5503459
658	460.512627
659	460.5071501
660	460.4984594
661	460.493426
662	460.4833399
663	460.4737912
664	460.4702788
665	460.4361596
666	460.4305297
667	460.4257434
668	460.4041533
669	460.3992683
670	460.3947225
671	460.3911221
672	460.3864151
673	460.3825393
674	460.3760297
675	460.3708139
676	460.3570271
677	460.3045911
678	460.2898895
679	460.2399958
680	460.2277454
681	460.2081007
682	460.1750767
683	460.140408
684	460.1374936
685	460.1102644
686	460.0978193
687	460.0816531
688	460.07741
689	460.0742522
690	460.0661959
691	460.0529858
692	460.0356846
693	460.0259302
694	460.023087
695	460.0178821
696	460.006356
697	460.0012692
698	459.997635
699	459.9935624
700	459.9744408
701	459.9654209
702	459.9631572
703	459.9619057
704	459.9530011
705	459.9516185
706	459.9453101
707	459.9241032
708	459.9112602
709	459.8819612
710	459.8462553
711	459.8408006
712	459.8134866
713	459.8007831
714	459.800328
715	459.7924711
716	459.7476929
717	459.7170685
718	459.7084786
719	459.6892447
720	459.6866315
721	459.6863582
722	459.6853638
723	459.6815334
724	459.6755252
725	459.6685489
726	459.6584825
727	459.6509735
728	459.6392595
729	459.6278029
730	459.6104447
731	459.6019247
732	459.5892024
733	459.5773051
734	459.5656331
735	459.5653834
736	459.5561637
737	459.5533258
738	459.5454978
739	459.5436733
740	459.5365248
741	459.5318507
742	459.515196
743	459.5082375
744	459.5079776
745	459.4895644
746	459.4836517
747	459.4751718
748	459.474932
749	459.4677202
750	459.459129
751	459.4589067
752	459.449344
753	459.4446236
754	459.4254387
755	459.4182939
756	459.4114389
757	459.4046489
758	459.4034794
759	459.2519231
760	459.2439841
761	459.2268994
762	459.2217129
763	459.2215177
764	459.1922714
765	459.1881204
766	459.1790262
767	459.1506864
768	459.1460391
769	459.14206
770	459.1378792
771	459.1324537
772	459.1285417
773	459.1208952
774	459.1085897
775	458.9899193
776	458.9804529
777	458.9756716
778	458.9693273
779	458.9615517
780	458.956026
781	458.9558301
782	458.9487404
783	458.946866
784	458.9462485
785	458.9411033
786	458.932095
787	458.9199871
788	458.9130977
789	458.907394
790	458.7808834
791	458.7786565
792	458.7734853
793	458.7639745
794	458.7616825
795	458.7467918
796	458.6454631
797	458.6408961
798	458.6320305
799	458.6260572
800	458.6027129
801	458.5982869
802	458.5928054
803	458.5902687
804	458.5868076
805	458.5821721
806	458.5764747
807	458.5610426
808	458.5518964
809	458.5517414
810	458.5391954
811	458.5258538
812	458.5208646
813	458.5133969
814	458.4993374
815	458.4732731
816	458.4731294
817	458.4671432
818	458.4564855
819	458.452912
820	458.4482624
821	458.4448657
822	458.4419819
823	458.4386174
824	458.41129
825	458.4019008
826	458.3955408
827	458.3917867
828	458.3880419
829	458.3849243
830	458.3805089
831	458.3766686
832	458.3729125
833	458.3727852
834	458.3706088
835	458.3653297
836	458.3605295
837	458.3531888
838	458.3480132
839	458.3428933
840	458.3386091
841	458.3322961
842	458.3292957
843	458.3265402
844	458.3264203
845	458.3186629
846	458.3143199
847	458.3124548
848	458.3086182
849	458.2910688
850	458.2841464
851	458.2839235
852	458.2645429
853	458.2613202
854	458.2462609
855	458.2405439
856	458.2236778
857	458.214182
858	458.2097684
859	458.2062799
860	458.2021812
861	458.198458
862	458.1939913
863	458.1914741
864	458.1912666
865	458.1836521
866	458.1779737
867	458.1778591
868	458.1750682
869	458.1696148
870	458.1677427
871	458.1643977
872	458.1331187
873	458.1302743
874	458.1269732
875	458.1248551
876	458.0969128
877	458.0945947
878	458.0870548
879	458.0818468
880	458.0816509
881	458.0773301
882	458.0739439
883	458.0737233
884	458.0720384
885	458.0672959
886	458.0645587
887	458.0582646
888	458.0451903
889	458.0237587
890	458.0128466
891	458.0126243
892	458.0125255
893	458.0123412
894	458.0107289
895	458.0043587
896	457.9981787
897	457.9953361
898	457.9900626
899	457.989854
900	457.9798644
901	457.9775641
902	457.9741268
903	457.9715381
904	457.9713565
905	457.9694979
906	457.9635542
907	457.9618292
908	457.9569848
909	457.9310648
910	457.93005
911	457.9285437
912	457.926317
913	457.9196156
914	457.9167328
915	457.9073797
916	457.8870379
917	457.8868585
918	457.8859688
919	457.8768878
920	457.8581599
921	457.8524471
922	457.8469808
923	457.7621804
924	457.6900955
925	457.6816302
926	457.6790081
927	457.6714734
928	457.666351
929	457.6629126
930	457.6622343
931	457.6415044
932	457.6337226
933	457.6287071
934	457.6257211
935	457.6246884
936	457.6172558
937	457.616011
938	457.6090043
939	457.5930727
940	457.5857629
941	457.5826169
942	457.5812459
943	457.5743485
944	457.5547424
945	457.5483197
946	457.5455425
947	457.5394643
948	457.5337195
949	457.5318177
950	457.5305998
951	457.5251743
952	457.5200398
953	457.514114
954	457.4827647
955	457.4783147
956	457.4708744
957	457.4661055
958	457.4500638
959	457.4472246
960	457.4470697
961	457.4442102
962	457.4383479
963	457.4236095
964	457.4190831
965	457.4130832
966	457.401665
967	457.3963134
968	457.3873242
969	457.3844452
970	457.3665143
971	457.3652578
972	457.3613325
973	457.35947
974	457.3562613
975	457.3518426
976	457.3390839
977	457.3165662
978	457.2885915
979	457.2635108
980	457.2600166
981	457.2555111
982	457.2547706
983	457.2411089
984	457.2285016
985	457.2276329
986	457.2236274
987	457.2011077
988	457.1462402
989	457.1345164
990	457.1306816
991	457.119837
992	457.1169997
993	457.1069746
994	457.1046519
995	457.10105
996	457.0986931
997	457.0942073
998	457.0905843
999	457.0860958

	455.7833578
